4/4
240
F#2, A3 ,B3 ,C#3, C#4, D#4, E4
 0,   0,  0,   1,  1,   0,  0
 0,   0,  0,   0,  0,   0,  0
 0,   0,  0,   1,  0,   0,  0
 0,   0,  0,   0,  0,   0,  1
 0,   0,  0,   1,  0,   0,  0
 0,   0,  0,   0,  1,   0,  0
 0,   0,  0,   1,  0,   0,  0
 0,   0,  0,   0,  0,   0,  0

 1,   0,  0,   0,  0,   0,  0
 0,   0,  0,   0,  0,   0,  0
 1,   0,  0,   0,  0,   0,  0
 0,   0,  0,   0,  0,   0,  0
 1,   0,  0,   0,  0,   0,  0
 0,   0,  0,   0,  0,   0,  0
 1,   0,  0,   0,  0,   0,  0
 0,   0,  0,   0,  0,   0,  0
 0,   1,  0,   0,  0,   0,  0
 0,   0,  0,   0,  0,   0,  0
 0,   1,  0,   0,  0,   0,  0
 0,   0,  0,   0,  0,   0,  0
 0,   1,  0,   0,  0,   0,  0
 0,   0,  0,   0,  0,   0,  0
 0,   1,  0,   0,  0,   0,  0
 0,   0,  0,   0,  0,   0,  0
 0,   0,  1,   0,  0,   0,  0
 0,   0,  0,   0,  0,   0,  0
 0,   0,  1,   0,  0,   0,  0
 0,   0,  0,   0,  0,   0,  0
 0,   0,  1,   0,  0,   0,  0
 0,   0,  0,   0,  0,   0,  0
 0,   0,  1,   0,  0,   0,  0
 0,   0,  0,   0,  0,   0,  0
